Word:,Definition:
leave year,The 12-month period by which an employer measures an employee's right to FMLA (Family and Medical Leave Act) leave.
legacy,A bequest; a gift of personal property to a beneficiary of a will.
legal action,"Any lawsuit, judicial proceeding, or prosecution, brought to protect a right or correct a legal violation or injustice."
legal advertising,Legal notices required by law to be published in court-approved local newspapers.
legal age,"The age at which a person is considered legally responsible for his or her own actions, usually 18."
legal aid,Free or low-cost legal services for low-income individuals.
legal cause,A cause that produces a direct consequence and is legally sufficient to produce liability.
legal custody,The right of a parent to make important decisions in the child’s life.
legal father,A man that is recognized by law as the male parent of a child.
legal fiction,"An assumption that something is true by a court for convenience, consistency, or to achieve justice."
legal papers,"Documents containing a statement of legal status, identity, authority, or ownership, or providing evidence of some type of obligation. "
legal parent,A person who is recognized by the law as the parent of a child.
legal risk placement,An adoption in which the child is placed with potential adoptive parents before the legal rights of the birth parents are terminated.
legal separation,The legal status of living apart although still legally married.
legal succession,"The distribution of property according to the law, which is used when the owner died without a will.  "
legal tender,Notes and coins issued by a government that must be accepted as payment of a debt.
legal,In agreement with the law; related to the law.
legatee,A person or organization who receives a gift from a will.
legitimate,"Legal, proper, or real. "
lemon law,A law that makes it easier to sue a dealer or manufacturer if they cannot make a new vehicle run after a reasonable amount of repair.
lessee,Tenant; the person who rents real estate from the owner (lessor).
lesser crime (lesser included offense),A crime that comprises a part but not all of a more complex crime.
lessor,"The owner of real property, who rents it to the tenant (lessee)."
let,To lease or rent real property to another person.
letter of credit,A letter from a financial institution guaranteeing payment of a certain amount on behalf of a customer.
letter of request,A document from a court to a foreign court requesting some type of judicial assistance.
letters of administration,The document appointing an administrator to property left by a person who died without a will.
leverage,"The use of borrowed money to purchase property, where the amount borrowed is a significant portion of the value of the purchased property. "
levy,To obtain money with legal permission by seizure and/or sale of property.
levying officer,Sheriff or marshal given the legal power by to seize and/or sell the property of a person who owes damages.
lewd and lascivious,Conduct that is sexual in nature and deemed by a judge to be criminal.
LGBT,"An abbreviation for Lesbian, Gay, Bisexual, and Transgender people or groups."
liability insurance coverage,Insurance that provides compensation to third parties who are injured or whose property is damaged because of something the insurance holder is responsible for.
liability,"The state of being liable, owing, or legally accountable for doing or not doing something."
liable,Legally responsible.
liar loan,A mortgage where the lender does not verify the borrower's income by looking at their pay stubs.
libel,False and malicious material that is written or spread through media that  hurts a person's reputation.
liberty,"Freedom from restraint, slavery, or imprisonment, and the power to choose for oneself within legal limits."
license hold,Prevent someone from renewing their driver's license until a legal matter is settled.
licensee,"A person who lives in an apartment who is not a tenant and unrelated to the tenant, but is allowed to stay there because a tenant allows it."
licit,"Lawful, permitted."
lien,A claim against property that may be used to repay a debt.
lienor,A person or entity that holds a lien on the funds or property of another.
life estate,The right to the use and enjoyment of certain property (usually real estate) only during one's lifetime.
life insurance trust,"A trust that owns a life insurance policy, so that the policy proceeds aren't subject to estate tax when the policy owner dies. "
life tenant,Someone who has a right to property during his/her lifetime.
life without possibility of parole,"A prison sentence for life, with no parole possible."
limited equity housing,Housing offered for sale at an extremely favorable price and with a low down payment for the benefit of low-income families.
limited jurisdiction,When a particular court has authority only over certain types of cases.
limited liability company (LLC),A type of business ownership that shields its owners' personal assets but passes profits (and taxation of profits) directly to the owners.
limited liability partnership,A partnership recognized in most states that protects a partner from personal liability for the negligence of other partners or employees not under his or her direct control.
limited partnership,A business structure that gives some partners liability for only their financial investment and gives other partners unlimited personal liability.
limited power of attorney,Authority given to someone to act as agent for another but only in a specified matter.
limited-scope representation,An arrangement with a lawyer to get help on some parts of a case for a set fee or limited fees.
limiting instruction,A judge's instruction to a jury telling them to consider some evidence only for a particular purpose.
lineal consanguinity,"A blood relationship where individuals are direct descendants or ascendants of each other (for example, great-grandfather and grandson). "
lineal descendant,A person's children and their children down through the generations.
lineup,A procedure that places a suspect in a line with similar-looking people to ask an eyewitness to identify the suspect.
liquid asset,Business or personal property that can be quickly and easily converted into cash.
liquidate,To settle an obligation or debt by payment or other compensation.
liquidated claim,Someone's claim for a fixed amount of money from a debtor.
liquidated damages,An amount of money agreed upon in contract which is owed to one party if the other party breaches the contract.
liquidation,The sale of a debtor's property to pay off outstanding debts.
litigant,Any party to a lawsuit (not including an attorney or witness).
litigate,To conduct or engage in a lawsuit.
litigation,The process of carrying on a lawsuit.
litigator,A trial lawyer; an attorney who represents plaintiffs or defendants in court.
living will,A legal document stating a person's choices about medical care in the case that s/he would become unable to speak for him/herself.
lockout,When a landlord illegally locks a tenant out of their rental unit to end their tenancy.
lodger,A person who living in a room in a house controlled and occupied by the owner.
loiter,To linger or hang around in a public place with no apparent purpose.
loitering,A crime of remaining in a certain place for no apparent reason.
long cause,The trial for a lawsuit that is estimated to take more than one day to complete.
long-arm jurisdiction,A legal provision that lets one state claim personal jurisdiction over someone that lives in another state if there is a meaningful connection.
loss of bargain rule,"The idea that in a breach of contract, the party with losses should be paid an amount equal to what would have been gained if both parties had fully honored the contract."
loss of use,"The inability to use a car, premises, or other property due to damage caused by another's negligence. "
loss,"The value placed on injury or damages caused by another's negligence, breach of contract, or other wrongdoing."
low-profit limited liability company (L3C),A company organized to perform services that benefit the public while making a profit as a secondary goal.
lower court,Any court that makes decisions that can be appealed or reviewed by a higher court level.
LRE,"Least restrictive environment; a requirement that special education students must be placed in regular classrooms whenever possible, while still meeting their special educational needs."
McNaughten Rule,"The rule that holds a defendant meets the test of criminal insanity and would not be held responsible for his/her acts if s/he either did not know what he/she was physically doing, or did not know that what he/she was doing was wrong."
magistrate,A local official with limited authority or specified by law or in the appointment.
maiden name,A woman's last name or family name at birth.
mailbox rule,"The acceptance of a contract by a properly posted letter sent by the time specified, as long as acceptance in person is not required. "
maim,To injure a person in a way that causes serious disfigurement or disability.
maintain,state as a fact
major life activity,"Important personal functions, such as caring for oneself, performing manual tasks, having regular sensory, physical, learning and working abilities; any impairment to these is considered a disability."
make one whole,To totally compensate for the loss suffered.
maker,"The person who signs a check or promissory note, which makes that person responsible for payment. "
malfeasance,Intentional conduct that is wrongful or illegal.
malice aforethought,premeditated; the state of mind necessary to prove first-degree murder.
malice,"A willful or intentional state of mind, in which the actor intends to bring about an injury or wrongdoing. "
malicious prosecution,Filing a civil or criminal lawsuit for an improper purpose (civil) or without probable cause (criminal).
malpractice,The delivery of substandard care or services by a professional who fails to provide a reasonable quality of care.
mandate,"Any obligatory order or requirement by law, regulation, or public agency."
mandatory,"Required, ordered."
mandatory injunction,A court order that requires a person to carry out a positive act.
mandatory joinder,A court requirement that someone or some party take part in a lawsuit in order for the case to be resolved.
manifest,"Apparent, obvious, or evident."
manifestation determination,A hearing (that takes place before an expulsion hearing) to decide if a student's misconduct was or was not due to the student's identified disability.
manpower,"Personnel, workforce."
manslaughter,"The unlawful, but unintended killing of a person. "
marginal tax rate,The percentage rate at which an individual's or business's next dollar of income is taxed.
marital deduction,A tax deduction that allows someone to pass an entire estate to a surviving spouse without any estate tax.
marital privilege,The right of spouses not to testify about confidential communications between them (allowed only in civil cases).
marital property,All property either spouse bought during the marriage regardless whose name is on the title.
marital settlement agreement,The document that lists the terms of a divorce agreement made by the spouses.
marital tort,A civil wrong by one spouse against the other.
maritime law,The laws and regulations that exclusively govern activities in any navigable waters.
mark,"A symbol or marking that serves as a signature, for someone not capable of writing a signature."
marshal,A peace officer with duties similar to those of a sheriff.
mass tort,A civil wrong that causes injury to many people.
master,A person appointed by a court to assist with particular issues or proceedings in a case.
material,Relevant and significant; will have significant impact.
material breach,A violation of contract that is severe enough to undermine the entire agreement.
material witness,A witness who has significant information about evidence in a case.
matter of record,Anything that has been entered into the record of the court.
maturity date,The date when a debt becomes due or when an asset has reached its maximum growth.
may,To be permitted to.
mayhem,"Unlawfully and violently harming a part of someone's body and making it disabled, disfigured, or useless."
mechanic's lien,"A legal claim placed on real estate by someone who is owed money for labor, services, or supplies related to the improvement of that property. "
mediation,A process facilitated by a neutral third party to help opposing parties reach a settlement acceptable to both.
mediator,A neutral third party who guides a resolution process of two parties in mediation.
Medicaid,A federal-state program that helps financially needy people to pay for medical costs.
medical certification,"A document that demonstrates to an employer a legitimate medical need, often required for disability, unemployment, or family leave."
medical marijuana,Any form of marijuana used for medical purposes.
medical support,A kind of child support where medical or dental insurance coverage is paid by a parent.
Medicare,A federal government program that helps elders and people with certain disabilities pay their medical costs.
Medicare tax,A tax deducted from all employee paychecks to fund Medicare.
meet and confer,"A requirement of certain motions or petitions, that lawyers (and sometimes their clients) meet to try to resolve the matter or at least clarify the issue. "
meeting of the minds,When two parties to a contract have an actual and mutual understanding of the terms.
Megan's law,"A law that requires convicted sex offenders to register with law enforcement authorities, who then make certain information about them publicly available. "
memorandum,"Any written record, including a letter or note, that proves that a contract exists between two parties. This type of memo may be enough to validate an oral (spoken) contract that would otherwise be unenforceable because of the statute of frauds. (Under the statute of frauds, an oral contract is invalid if it can't be completed within one year from the date the contract is made.)"
memorandum decision,"A single, very brief paragraph summarizing a court's decision in a case."
"memorandum of costs (memorandum of credits, accrued interest, and costs after judgment)","In small claims court, a form used to get back your costs for carrying out your case."
memorandum of points and authorities,A document that cites legal authorities that support a party's important points in a case.
memorandum to set,A paper filed by one or more parties in a court case saying the case is ready for trial.
mental anguish,"Mental suffering (such as fright, anxiety, grief, or other trauma) caused by another person, who can be held liable for damages."
mental cruelty,"When one spouse's conduct creates severe mental anguish for the other spouse, it is a legal ground for divorce."
mercy rule (character evidence admissibility),A rule that a criminal defendant can give evidence of his/her character as a defense to a criminal charge.
mesne profits,Profits of an estate received by someone who was wrongfully occupying the land for a period of time.
metes and bounds,The territorial limits of a property determined by precise measuring of the parcel.
might,may
military law,Regulations that govern men and women actively serving in the armed forces.
minimum,"least, smallest"
minimum wage,The minimum hourly amount that can be paid to hourly workers.
minor,"Someone under legal age, which is generally 18."
minute order,An order made by a judge that is recorded only in the clerk's notes (minutes) while the court was in session.
minutes,The official (permanent) record of a court proceeding.
Miranda warning,A rule that a criminal suspect in police custody must be told about certain rights against self-incrimination and the right to a lawyer before questioning.
misappropriation,"The intentional, illegal use of someone's property or funds for one's own benefit."
misdemeanor,"A crime, less serious than a felony, that can be punished by up to one year in jail. "
misfeasance,Performing a legal action in an improper way.
misjoinder,The improper joining of parties or causes into a single lawsuit.
misrepresentation,"Falsely stating facts with intent to deceive often to obtain money, goods, or benefits. "
mistrial,"A trial that ends without any final decision because of a fundamental error that makes the trial invalid, or when a jury cannot agree on the verdict. "
misunderstanding,A situation where two parties appear to agree but in fact understand differenttly from what they apparently agreed upon.
mitigating circumstances,"Information that may reduce someone's responsibility for a criminal act or civil wrong, but does not excuse it. "
mitigation of damages,The requirement that someone injured by another's negligence or breach of contract must take reasonable steps to prevent the cost of damages from getting worse.
modification,"A change in an existing court order or judgment, such as a change in the amount of child support paid. "
modify,change
modus operandi,"A ""way of operating""; a pattern of criminal behavior so distinctive that investigators attribute it to the same person."
moiety,Half of something.
molestation,The crime of sexual acts with children up to the age of 18 or any unwanted sexual acts with adults short of rape.
money judgment,The amount of money the court awards to a person as payment for losses or injuries suffered.
money order,"A draft for a specified amount of money, purchased from a post office, bank, telegraph office, or other authorized entity that is guaranteed, and unlike a check, it cannot bounce."
moot,Without practical significance; hypothetical or academic.
moratorium,An authorized period of delay in paying a debt or performing an obligation.
mortality charge,A monthly deduction from a universal life insurance policy that increases as the policyholder ages.
mortgage,A loan secured by the borrower's real property and paid to the lender in regular payments of principal and interest.
mortgage delinquency,When the borrower on a home mortgage is late in making payments.
mortgage servicer,A business that a mortgage lender pays to administer their mortgages.
mortgagee,The person or business making a loan in a mortgage.
mortgagor,The person who has borrowed money in a mortgage.
motion,A request that a party makes to the judge for a ruling or an order on a particular point.
motion for new trial,A party's request made after a judgment that the judge vacate that judgment and order a new trial because of significant legal error or insufficient evidence.
motion in limine,"A motion made before a trial begins, asking the court to decide to exclude certain evidence that may prejudice the jury against him or her."
motion to dismiss,"A motion asking the judge to throw out part or all of a lawsuit because of voluntary withdrawal, settlement out of court, or procedural error."
motion to quash service of summons,A legal response that a tenant can file if the tenant believes that the landlord did not properly serve the summons.
motion to strike,A request that the judge eliminate all or part of another party's pleading or testimony.
motion to suppress,A request that the court refuse a particular piece of evidence because it was obtained illegally.
motive,The probable reason a person committed a crime.
movant,The party in a lawsuit or other legal proceeding who makes a motion.
move,To make a motion in court applying for some kind of judicial action.
mugging,A robbing by force or threat.
multiplicity of actions,More than one lawsuit raising the same issue(s) against the same defendant.
multistate financial institution data match (MSFIDM),A process that matches the financial accounts in more than 1 state with parents that owe child support.
municipal court,A court that typically has authority over minor local criminal matters and local civil lawsuits dealing with small amounts of money.
muniment of title,Written evidence of title to real estate.
murder,The unlawful killing of a person by another with premeditated malice.
mutual,"Referring to anything in which the parties have reciprocal rights, understanding, or agreement."
mutual wills,Wills made by spouses or an unmarried couple that have identical or nearly identical provisions.
necessary party,"A person or entity affected by the outcome of a lawsuit, but who does not have to be included in the case for a judgment to be made."
necessitate,require
negligence,When someone fails to be as careful as the law requires to protect the rights and property of others.
neutral evaluation,"When a neutral person (or persons) hears brief written and oral presentations, then considers the strengths and weaknesses of each side's contentions and evidence, and offers an overall evaluation of the dispute."
new hire reporting,"A program that requires all employers to report newly hired employees to the State Directory of New Hires (SDNH) in their state. This data is submitted to the National Directory of New Hires (NDNH), and compared against child support order information in the Federal Case Registry (FCR) for possible enforcement of child support obligations through wage garnishment.",  ,
no contest,"A criminal defendant's plea that has the same effect as a guilty plea, but protects the defendant from liability. Also called nolo contendere."
no fault,A divorce in which neither party must prove that the other party is at fault.
nolo contendere,"No contest. A plea of nolo contendere has the same effect on a criminal sentence as a plea of guilty, but may not be taken as an admission of guilt for any other possible case. "
nominal damages,A very small amount of money awarded when a court finds in favor of one party but concludes that no real harm was done.
noncustodial parent (NCP),"The parent that does not have primary care, custody, or control of a child."
nonexempt assets (nonexempt property),"In a bankruptcy case, the property of a debtor to be sold and used to pay a creditor(s)."
nonfeasance,Failure to perform an act that you are legally responsible for.
nonservice,When a summons or warrant is issued but not served (delivered).
notarize,Certification of the authenticity of a signature on a document by a notary public.
notary public,"A person authorized under civil law to administer oaths, to witness and certify the authenticity of documents, and to take depositions."
notice,A written announcement or warning.
Notice of Entry of Judgment,A court form telling the parties about the judge's decision in a lawsuit.
Notice of Opposition to Claim of Exemption,"In small claims court, a paper filed by the judgment creditor opposing the judgment debtor's claim that certain assets are exempt. from collection."
notice of petition,"Written notification that a legal case has been filed; it includes the time, date, and place of a court hearing in the case."
notwithstanding,"However, even though, but, or excepting."
null and void,Having no legal effect.
nullity,The legal invalidation of a marriage; annulment.
oath,A promise to tell the truth and not hide any information.
objection,A formal protest made by a party over testimony or evidence that the other side tries to introduce.
obligation,A legal duty to pay or do something.
obligee,"The person, state agency, or institution owed a debt (usually money)."
obligor,The person that must pay a debt or perform some other obligation.
obtain,get
occupancy,Living in or using premises or property as a tenant or owner.
occupant,Someone living in a residence or using premises as a tenant or owner.
offense,An act that breaks the law.
Office of Child Support Enforcement (OCSE),The federal agency responsible for administering the nationwide child support program.
offset (child support),The money taken from a parent's income tax refund before he or she receives it to pay a child support debt.
opening statement,A party's statement at the beginning of a trial that outlines their legal position and the evidence that will be introduced later.
operation of law,Rights or obligations that by law take effect automatically in a particular circumstance.
opinion,A judge's written explanation of the decision of the court in appellate cases.
oral argument,The part of a trial when lawyers summarize their position in court and also answer the judge's questions.
oral contract,A contract that is not in writing.
order,A decision issued by a court.
ordinance,"A regulation made by a local government to enforce, control, or limit certain activities."
overrule,A trial judge's decision to reject a party's objection.
own recognizance (OR),When a person is released from custody and not required to pay bail because of his or her promise to come to court to answer a criminal charge.
panel,The list of people selected to appear for jury duty.
parameters,limits
pardon,When the chief executive of a state or country releases a convicted person from the punishment given him or her by a court sentence.
parent,The legal or natural father or mother of a person.
parentage (parental relationship),A legal decision about who are a child’s parents.
parental neglect,A parent's crime of acting or not acting in a way that endangers the health and life of a child.
parenting plan,A detailed custody and visitation agreement that says when the child will be with each parent and how decisions are made.
parole,A release from prison that allows the person to serve time outside of prison as long as s/he follows certain conditions.
partial verdict,"A verdict that a criminal defendant is guilty of one or more, but not all of the charges against him or her."
party,"The person, people, or entity named in a legal action."
paternity,Legal determination of fatherhood.
paternity suit,A lawsuit to determine the father of a child whose parents were not married when the child was born.
payee,Person or organization in whose name child support or other money is paid.
payor,Person that makes a payment.
penalty,Punishment for breaking a law.
penalty assessment,An amount of money added to a fine.
penalty clause,Part of a contract that calls for payment if a party does not keep the contract.
pending,The status of a case that is not yet resolved by the court.
penitentiary,A state or federal prison for convicted criminals.
pension,Money that an employer pays regularly to an employee's retirement account.
peremptory challenge,"The right to exclude a limited number of potential jurors in a case, by either side in a trial, without giving reason. "
perform,To fulfill one's obligations under a contract.
perjury,A false statement made on purpose while under oath in a court proceeding.
permanency planning,"A court action that gives a dependent child a permanent place to live, like an adoption or a guardianship."
permanency planning hearing,A hearing to give a dependent child a permanent place to live.
perpetuity,forever
personal jurisdiction,"The power of a court over a person, his or her body, and his or her rights. "
personal service,Delivery of court papers by handing them in person to the individual being served.
petition,"In a civil case, a court paper that asks the court to take some kind of action."
petitioner,A person or party who starts a case by filing a petition at court. Also called Plaintiff.
physical custody,The right given to a parent by court to have a child live with him or her.
plaintiff,A person or party who starts a case by filing a petition at court. Also called Petitioner.
plea,"In a criminal case, the defendant's formal answer of ""guilty"", ""not guilty"" or ""no contest"" to the charges against him/her."
plea bargain,"Negotiation between the prosecuting attorney and the person accused of a crime or that person's lawyer to exchange a guilty plea for conviction of a lesser charge, if the court approves."
plead,"In a criminal case, to formally answer the charges filed by saying ""guilty"", ""not guilty,"" or ""no contest."""
pleading,Written statement filed with the court that describes a party's legal or factual claims about the case and what the party wants from the court.
points and authorities,"Also called ""P's and A's."" ""Points and authorities"" refers to the written legal argument given to support or oppose a motion."
polling of jury,Asking individual jurors whether they agree with the final verdict in the case just decided.
portion,part
possess,have; own
possession,"Any article, object, asset, or property that someone owns or controls."
post,"A prefix meaning ""after,"" as in ""post-trial"" matters."
power of attorney,"When a person authorizes someone else to take care of business for him or her, either generally or within a set of terms and limitations. "
praecipe,An order issued by a court requiring a defendant to do something or explain to the court why it should not be done.
pre,"A prefix meaning ""in front of"" or ""before,"" as in ""pretrial"" hearing."
precedent,A court decision made in an earlier case which establishes a rule that judges will typically follow when deciding a similar current case.
predecease,To die before someone else.
preliminary,"Introductory, preparatory, preceding, or leading up to the main matter of business."
preliminary examination/hearing,A court proceeding to determine whether there is enough criminal evidence to hold a trial against someone.
prenuptial agreement,An agreement made before marriage that says how issues of support and property will be resolved when the marriage ends by death or divorce.
prepayment penalty,A fee charged to a borrower who pays off a loan before its due date.
presentence report,A report detailing a defendant's background that is provided to help a judge decide a defendant's sentence.
preserve,keep; maintain
presiding judge/justice,"In a court with more than one judicial officer, the judge/justice that acts as administrator of the court's business."
presumption,A rule of law that permits a court to assume a fact is true based on other proven evidence.
pretrial conference,"A meeting of the judge and lawyers before a trial, to plan what should be addressed in the trial and discuss the possibility of settling the case without going to trial. "
prima facie,Sufficient to support a certain conclusion unless contradictory evidence is presented.
primary caretaker,"The parent who spends the most time with the child, and is the parent the child first turns to if they need something."
primary physical custody,A court order that says a child lives with one parent more than the other parent.
prior,"Earlier, previous."
privilege,An advantage not enjoyed by all; a special exemption from prosecution or other lawsuits.
pro bono,"Legal work done for free; from the Latin meaning ""for the good."""
pro per,"Refers to persons that present their own cases in court without lawyers; from the Latin for ""in one's own proper person."" "
pro se,"Refers to persons that present their own cases in court without lawyers; from the Latin for ""on one's own behalf."""
pro tempore (pro tem) judge,A lawyer that volunteers his or her time to hear and decide cases on a temporary basis., ,
probable cause,A reasonable basis for assuming that a charge or fact is well founded.
probate,The judicial process to determine if a will of a dead person is genuine or not., ,
probation,A criminal court sentence that releases a person into the community under supervision and certain conditions., ,
probation officer,Officers of the probation department of a court.  , ,
procedure,The rules for conducting a criminal or civil lawsuit.
proceed,Go ahead., ,
proceedings,"Generally, the process of conducting judicial business before a court or other judicial officer. A ""proceeding"" refers to any one of the separate steps in that process, like, a motion, a hearing."
process,"A course of proceedings in a lawsuit; or, the way a person is notified of a legal action or a court order."
process server,A person that serves court papers to a party of a lawsuit.
promissory note,A written document that says that a person promises to pay money to another.
pronouncement of judgment,When the judge formally issues a judgment in a case.
proof,Evidence that tends to establish the existence or truth of a fact at issue in a case.
proof of claim,A written statement describing why a debtor owes a creditor money and how much money is owed.
proof of service,The court form which proves that court papers were formally delivered to a party in a court action on a certain date.
property,Anything that is owned by a person or entity.
property damage,"Injury to someone's property because of another person's negligence, willful destruction, or by natural cause. "
prosecute,To charge someone with a crime and then try them for it in court.
prosecuting attorney,A public officer that prosecutes criminal cases on behalf of the state (also known as a district attorney).
protest,A formal statement or action expressing disagreement or disapproval.
provide,"Give, show."
public assistance,"Benefits, like money or food stamps, to help people or families in need. "
public defender,"A lawyer appointed by the court, usually to represent a defendant in a criminal case that can't afford to hire a lawyer."
public offense,A crime.
public record,A court record available for inspection by the general public.
punitive damages,Money awarded in a legal case that is above the real cost of the injury; it is meant to punish a losing party for willful or malicious misconduct.
purge,To remove inactive case records from court files.
putative father,The person said to be the father of a child but who has not yet been medically or legally declared to be the legal father.
Qualified Domestic Relations Order (QDRO),"An order or judgment issued by a court and approved by a pension plan, that divides a pension plan in order to make a fair division of property or to pay for child or spousal support."
Qualified Medical Child Support Order (QMCSO),An order or judgment that provides for medical support for a child of a parent covered by a group health plan or provides for health benefit coverage for the child.
quash,"To make void, to vacate, to annul, to set aside. "
quiet title,"A case in which the ownership of real property is in dispute, and the court must declare (quiet title) that a certain person is the legal owner of the property."
reasonable person,A hypothetical legal standard of what a reasonable person would do in a certain circumstance; it is used to determine if someone acted reasonably or with negligence.
reasonable time,A vaguely defined period of time by which an act in a contract should be performed.
reasonable,"Just, rational, appropriate, ordinary, or usual given the circumstances."
rebuttal,Evidence presented at trial by one party in order to overcome evidence introduced by another party.
rebuttal witness,A witness who is called to disprove testimony already presented.
recess,A short break in a trial ordered by the judge.
reciprocity,A relationship in which one state gives certain privileges to other states or the citizens of other states on the condition that the first state and its citizens receive the same privileges in those other states.
reckless,Very careless; characterized by creating substantial and unreasonable risk to others.
reckless driving,Operating an automobile in a dangerous or careless manner.
recognizance,A promise made in court to do something.
reconveyance,The transfer of a real estate title from lender to buyer when the loan on the property is paid off.
record,"A written account of the proceedings in a case, including all pleadings, evidence, exhibits, and judgment submitted during the case."
record on appeal,"A copy of the pleadings, evidence, exhibits, orders, and judgment, filed in a case in a trial court and a transcript of the testimony from the case."
record sealing,"A request for a court order to ""seal"" the record of a misdemeanor conviction. To be eligible for sealing, the crime must have been committed before a defendant's 18th birthday and the judge must have already granted a ""release of penalties"" order. A sealing order closes any records related to the case, including conviction, charge, and arrest records. If a judge grants an order to seal the record, in the eyes of the law, the misdemeanor is considered to never have happened."
records retention and disposal schedule,A system or plan covering all records kept by a court that states what records may be disposed of and when.
recover,To receive a money judgment in a lawsuit.
recovery,The amount of money and any other right or property awarded to someone in a lawsuit.
recuse,"To excuse (oneself) or be excused from a criminal or civil proceeding because of conflict of interest. For example, a judge may recuse himself or herself from a case because of personal or professional involvement with 1 or more of the parties."
referee,"In a legal case, someone assigned to do something for the judge. A referee might hear part of a case and report facts to the judge, or sell property as ordered by the judge."
referral,"Usually refers to an alternative program, like drug/alcohol rehabilitation instead of serving time in jail."
register of actions,"The official permanent, written or electronic, court record of actions in civil cases, including small claims."
reinstated bail,"When bail that had been forfeited, exonerated, or reduced is reestablished in its original amount."
release,To give up a right or claim to something.
relief,A benefit that a court can order to be given to a party to a lawsuit.
relief from forfeiture,A court order in an unlawful detainer (eviction) lawsuit that allows the losing tenant to stay in the rental unit.
relinquish,Give up.
remand,When an appellate court sends a case to a lower court for further proceedings.
remanding order,"An order to the sheriff to hold a defendant in custody until his or her next court appearance, or until bail is posted."
remedy,The means of compensating for a wrong or enforcing a right in a legal action.
rent control ordinances,"Laws in some communities that limit or prohibit rent increases, or that limit the reasons why a landlord can evict a tenant."
rent withholding,A renter's refusal to pay the rent because of the landlord's failure or refusal to fix a serious problem.
rent,"Money paid to use property, usually a house or apartment. Late fees and utility charges are not usually considered rent."
rental agreement,"An oral or written agreement between a tenant and a landlord, made before the tenant moves in that sets the terms of the tenancy, like the amount of the rent and when it is due."
rental application form,"A form that a landlord may ask a tenant to fill out before renting that asks for information about the tenant, like the tenant's address, telephone number, employment history, and credit references."
rental unit,"An apartment, house, duplex, condominium, or room that a landlord rents to a tenant to live in."
renter's insurance,"Insurance that protects the tenant’s property against losses, including theft or fire."
repair and deduct remedy,The tenant's remedy of deducting from future rent the amount necessary to repair defects covered by the implied warranty of habitability.
report and sentence,The proceeding that happens after a conviction in a criminal case in which the judge reviews the probation report and sentences the defendant.
reporter,"A court official that records the proceedings in trials, including the questions asked of, and answers made by, witnesses."
repossess,To take back property from the owner if payments are not made.
represent,"To act as the representative for another person, such as a person's attorney or advocate."
request for admission,A method of discovery in which 1 party formally asks the opposing party to admit the truth of certain facts relevant to a case.
request,"When a party asks the court to act, demands a right, or asks a question."
residency,The place where a person makes his or her home.
resident,A person who lives in a particular place.
residential hotel,"Any building that contains six or more guest rooms or efficiency units that are designed, used, rented or occupied for sleeping purposes by guests, and which is the primary residence of these guests."
respondent,"The person against whom an appeal is made; the responding party in a dissolution, nullity, adoption, or probate case."
responsible,Legally liable or accountable.
restitution,"The act of restoring or giving the equivalent value to compensate for an injury, damage, or loss."
restraining order,"A court order that tells a person to stop doing something for a certain amount of time, usually until a court hearing is held. "
restriction,"Any limitation on activity, by law, regulation, or the terms of a contract. "
retain,keep
retainer,A fee that the client pays a lawyer before that lawyer begins to work for the client.
retaliatory eviction or action,"An act by a landlord, like raising a tenant's rent, trying to evict a tenant, or punishing a tenant because the tenant has asserted his or her rights as a tenant."
retirement benefits,Benefits provided to a person who leaves the work force at the Social Security Administration's retirement age or by a private retirement plan.
reunification requirements,What the court orders a parent to do in order to get back a child removed from the parent's custody.
revenue,Income received by a public entity (like court filing fees) to offset the cost of providing service(s).
reverse,When an appellate court sets aside the decision of a trial court. A reversal is often accompanied by a remand to the lower court for further proceedings.
reversible error,A legal mistake made by the court that is so significant the court's decision must be reversed.
review and adjustment,A process in which current financial information is obtained from both parties in a child support case by a IV-D agency and evaluated to decide if a support order needs to be adjusted.
revocation,"The act of voiding or canceling something, usually probation or a driver's license."
rule,To decide a legal question.
ruling,Any decision a judge makes during the course of a lawsuit.
sanction,"To concur, confirm, or ratify."
satisfaction,Payment of a judgment amount by the losing party.
sealed record,A record closed by a court to further inspection by anyone unless a there is a court order to permit it.
search,To examine private property or a person's body to look for evidence of criminal activity.
search warrant,An order signed by a judge that allows the police to enter and search private property for items named in the warrant.
Second Amendment,Part of the Bill of Rights interpreted by the U.S. Supreme Court as guaranteeing the right for most people to own a gun(s).
Section 8,A federally financed housing assistance program that helps low-income tenants with rent payments.
security deposit,A deposit or a fee that the landlord requires the tenant to pay at the beginning of the tenancy.
self-defense,The use of reasonable force to protect oneself from an aggressor or attack.
self-employed,Working for oneself as a freelancer or as an owner of a business rather than working for an employer.
self-incrimination,The act of indicating your involvement in a crime or exposing yourself to criminal prosecution.
self-surrender,"When a person turns him or herself in voluntarily to the jail, police, or the court."
sentence,A judge's formal pronouncement of the punishment to be given to a person convicted of a crime.
sentencing guidelines,A set of rules and principles established by the U.S. Sentencing Commission that trial judges use to determine the sentence of a convicted defendant in a federal court case.
separate property,"Property that one of the spouses owned before the marriage. Any inheritance one spouse gets, even during marriage, is separate property. "
separation agreement,"An agreement made by two married people who decide to live apart that resolves questions of property, custody, and support."
separation date,The date of separation for divorces is when one spouse (or both) decides that the marriage is over and takes some actions to show this.
